regime,pair,task_a_us,task_b_us,task_fused_us,isolated_sum_us,composition_gap_us,fusion_ratio,dma_a_us,dma_b_us,dma_fused_us,tu_a_us,tu_b_us,tu_fused_us,error
decode,rmsnorm_to_q_proj,2.81,175.26,177.79,178.07,-0.28,0.9984,2.22,171.88,173.21,1.19,25.3,28.8,
decode,rmsnorm_to_gate_proj,2.81,608.31,608.66,611.13,-2.47,0.996,2.22,603.36,603.68,1.19,82.3,84.04,
decode,gate_proj_to_activation,607.81,3.4,607.98,611.21,-3.23,0.9947,602.83,2.74,602.96,82.31,0.6,83.36,
decode,activation_to_swiglu_mul,3.4,5.29,5.58,8.69,-3.11,0.6423,2.74,4.19,4.48,0.6,1.05,1.65,
decode,swiglu_mul_to_down_proj,5.28,603.4,608.27,608.69,-0.41,0.9993,4.18,599.95,604.79,1.05,88.51,89.58,
decode,down_proj_to_residual,603.51,2.64,603.71,606.14,-2.43,0.996,600.03,2.31,601.01,88.54,0.27,88.86,
decode,qk_scores_to_softmax,974.15,18.0,981.04,992.15,-11.11,0.9888,963.52,11.11,963.61,152.84,6.83,159.79,
decode,softmax_to_av_context,18.0,964.56,964.77,982.56,-17.79,0.9819,11.11,961.34,961.56,6.83,91.63,98.47,
prefill,rmsnorm_to_q_proj,172.08,2289.79,2409.91,2461.87,-51.97,0.9789,167.66,464.45,1095.47,87.6,2241.16,2342.26,
prefill,rmsnorm_to_gate_proj,172.11,10064.93,10116.94,10237.04,-120.1,0.9883,167.65,10005.19,9960.88,87.6,8136.93,8228.36,
prefill,gate_proj_to_activation,10064.33,523.25,10102.4,10587.58,-485.17,0.9542,10004.56,523.11,10011.62,8137.0,117.09,8166.75,
prefill,activation_to_swiglu_mul,523.39,799.75,792.67,1323.15,-530.47,0.5991,523.26,799.62,792.46,117.09,235.62,352.72,
prefill,swiglu_mul_to_down_proj,799.77,8676.42,8910.48,9476.19,-565.71,0.9403,799.64,1887.13,2470.99,235.62,8628.16,8854.82,
prefill,down_proj_to_residual,8675.65,251.17,8714.11,8926.82,-212.71,0.9762,1888.76,251.1,1981.9,8627.88,33.32,8680.5,
prefill,qk_scores_to_softmax,1540.3,2663.64,6350.84,4203.94,2146.9,1.5107,1538.94,2663.37,4472.93,1183.77,1635.1,5653.02,
prefill,softmax_to_av_context,2662.79,1626.07,7572.88,4288.87,3284.01,1.7657,2662.52,1601.25,7509.85,1635.07,1489.34,4041.24,
