split,sequence,length,ops,task_us,pred_us,err_pct,naive_us,naive_err_pct
train,Q,1,qk,42.73,,,,
train,S,1,softmax,55.85,,,,
train,V,1,av,42.53,,,,
train,O,1,o_proj,131.72,,,,
train,R,1,residual,10.63,,,,
train,N,1,rmsnorm,13.49,,,,
train,G,1,gate,312.48,,,,
train,I,1,silu,19.35,,,,
train,X,1,mul,26.42,,,,
train,D,1,down,289.99,,,,
train,QS,2,qk->softmax,20.75,,,,
train,SV,2,softmax->av,19.09,,,,
train,VO,2,av->o_proj,128.25,,,,
train,OR,2,o_proj->residual,165.11,,,,
train,RN,2,residual->rmsnorm,16.48,,,,
train,NG,2,rmsnorm->gate,344.15,,,,
train,GI,2,gate->silu,311.48,,,,
train,IX,2,silu->mul,27.46,,,,
train,XD,2,mul->down,280.29,,,,
train,DR,2,down->residual,294.22,,,,
train,QSV,3,qk->softmax->av,27.26,,,,
train,SVO,3,softmax->av->o_proj,129.21,,,,
train,VOR,3,av->o_proj->residual,161.26,,,,
train,ORN,3,o_proj->residual->rmsnorm,137.33,,,,
train,RNG,3,residual->rmsnorm->gate,321.43,,,,
train,NGI,3,rmsnorm->gate->silu,350.3,,,,
train,GIX,3,gate->silu->mul,401.86,,,,
train,IXD,3,silu->mul->down,283.04,,,,
train,XDR,3,mul->down->residual,286.98,,,,
test,ORNG,4,o_proj->residual->rmsnorm->gate,427.36,424.67,-0.63,468.31,9.58
test,QSVOR,5,qk->softmax->av->o_proj->residual,166.82,164.4,-1.45,283.46,69.92
test,VORNGI,6,av->o_proj->residual->rmsnorm->gate->silu,427.17,451.14,5.61,530.2,24.12
test,NGIXDR,6,rmsnorm->gate->silu->mul->down->residual,568.66,654.31,15.06,672.36,18.24
test,SVORNGIX,8,softmax->av->o_proj->residual->rmsnorm->gate->silu->mul,426.52,519.11,21.71,612.47,43.6
test,QSVORNGIXDR,11,qk->softmax->av->o_proj->residual->rmsnorm->gate->silu->mul->down->residual,739.03,763.29,3.28,955.81,29.33
