split,sequence,length,ops,task_us
train,Q,1,qk,542.16
train,S,1,softmax,846.35
train,V,1,av,633.74
train,O,1,o_proj,766.15
train,R,1,residual,94.79
train,N,1,rmsnorm,82.47
train,G,1,gate,2437.11
train,I,1,silu,196.52
train,X,1,mul,288.79
train,D,1,down,2837.75
train,QS,2,qk->softmax,982.71
train,SV,2,softmax->av,944.16
train,VO,2,av->o_proj,1354.07
train,OR,2,o_proj->residual,782.22
train,RN,2,residual->rmsnorm,116.09
train,NG,2,rmsnorm->gate,2530.49
train,GI,2,gate->silu,2445.13
train,IX,2,silu->mul,287.87
train,XD,2,mul->down,2938.83
train,DR,2,down->residual,2804.68
train,QSV,3,qk->softmax->av,1208.4
train,SVO,3,softmax->av->o_proj,1681.94
train,VOR,3,av->o_proj->residual,1373.1
train,ORN,3,o_proj->residual->rmsnorm,827.83
train,RNG,3,residual->rmsnorm->gate,2585.01
train,NGI,3,rmsnorm->gate->silu,2544.55
train,GIX,3,gate->silu->mul,2500.25
train,IXD,3,silu->mul->down,3009.57
train,XDR,3,mul->down->residual,2909.79
test,ORNG,4,o_proj->residual->rmsnorm->gate,3247.4
test,QSVOR,5,qk->softmax->av->o_proj->residual,2007.69
test,VORNGI,6,av->o_proj->residual->rmsnorm->gate->silu,3929.03
test,NGIXDR,6,rmsnorm->gate->silu->mul->down->residual,5104.26
test,SVORNGIX,8,softmax->av->o_proj->residual->rmsnorm->gate->silu->mul,4209.21
test,QSVORNGIXDR,11,qk->softmax->av->o_proj->residual->rmsnorm->gate->silu->mul->down->residual,7358.07
