regime,B,S,kind,length,idx,op,wall_us,dma_us,tuexec_us,task_us,pred_wall,sep_wall,joint_wall,eps_sched,eps_fusion,eps_total,pred_dma,joint_dma,eps_dma,pred_tuexec,joint_tuexec
decode,8,1,iso,1,0,rmsnorm,208.0,2.21,1.19,2.8,,,,,,,,,,,
decode,8,1,iso,1,1,matmul,375.2,172.27,25.3,175.66,,,,,,,,,,,
decode,8,1,iso,1,2,silu,234.4,1.53,0.28,1.86,,,,,,,,,,,
decode,8,1,iso,1,3,mul,227.0,2.92,0.4,2.75,,,,,,,,,,,
decode,8,1,iso,1,4,matmul,550.2,171.86,25.3,175.24,,,,,,,,,,,
decode,8,1,iso,1,5,add,265.9,2.92,0.27,2.61,,,,,,,,,,,
decode,8,1,chain,1,0,rmsnorm,,,,,208.0,167.8,294.2,-40.2,126.4,86.2,2.21,2.21,-0.0,1.19,1.19
decode,8,1,chain,2,1,matmul,,,,,583.2,484.4,581.1,-98.8,96.7,-2.1,174.48,173.3,-1.18,26.49,28.81
decode,8,1,chain,3,2,silu,,,,,817.6,995.6,550.2,178.0,-445.4,-267.4,176.01,173.37,-2.65,26.76,28.97
decode,8,1,chain,4,3,mul,,,,,1044.6,752.8,392.9,-291.8,-359.9,-651.6,178.94,174.51,-4.43,27.16,29.26
decode,8,1,chain,5,4,matmul,,,,,1594.8,1083.3,705.2,-511.5,-378.2,-889.7,350.79,365.52,14.73,52.46,54.57
decode,8,1,chain,6,5,add,,,,,1860.7,1252.8,707.5,-607.8,-545.3,-1153.2,353.71,367.63,13.92,52.73,54.97
prefill,8,512,iso,1,0,rmsnorm,795.6,335.6,189.69,351.49,,,,,,,,,,,
prefill,8,512,iso,1,1,matmul,5454.0,2303.09,5892.85,4852.14,,,,,,,,,,,
prefill,8,512,iso,1,2,silu,506.3,317.27,66.73,307.79,,,,,,,,,,,
prefill,8,512,iso,1,3,mul,854.6,659.75,134.22,500.98,,,,,,,,,,,
prefill,8,512,iso,1,4,matmul,5334.3,2304.21,5892.85,4852.18,,,,,,,,,,,
prefill,8,512,iso,1,5,add,715.4,686.43,66.65,501.98,,,,,,,,,,,
prefill,8,512,chain,1,0,rmsnorm,,,,,795.6,517.7,615.4,-277.9,97.7,-180.2,335.6,335.51,-0.09,189.69,189.69
prefill,8,512,chain,2,1,matmul,,,,,6249.5,5603.8,5344.6,-645.7,-259.2,-904.9,2638.68,1873.38,-765.3,6082.54,5333.68
prefill,8,512,chain,3,2,silu,,,,,6755.9,6950.3,5302.0,194.5,-1648.3,-1453.8,2955.95,1786.92,-1169.03,6149.27,5328.46
prefill,8,512,chain,4,3,mul,,,,,7610.4,7526.6,5659.6,-83.8,-1867.0,-1950.8,3615.71,2666.73,-948.97,6283.49,5502.19
prefill,8,512,chain,5,4,matmul,,,,,12944.7,12989.1,10564.2,44.4,-2424.9,-2380.5,5919.91,4875.55,-1044.36,12176.34,11393.8
prefill,8,512,chain,6,5,add,,,,,13660.1,14056.7,10504.7,396.5,-3552.0,-3155.4,6606.34,5629.01,-977.33,12242.99,11499.14
