regime,kernel,B,Sq,ctx,bytes_mb,gflops,ai,dma_us,tuexec_us,task_us,wall_us,eff_bw,pct_bw,eff_tflops,pct_flops,bound,compile_s,error
decode,q_proj,8,1,2048,33.69,0.27,8.0,172.02,25.3,175.41,696.8,0.196,13,10.6,4,mem,1.4,
decode,k_proj,8,1,2048,8.47,0.07,7.9,44.55,6.78,47.13,420.3,0.19,13,9.9,4,mem,1.4,
decode,v_proj,8,1,2048,8.47,0.07,7.9,44.39,6.78,47.0,250.7,0.191,13,9.9,4,mem,1.3,
decode,o_proj,8,1,2048,33.69,0.27,8.0,172.42,25.3,175.8,573.5,0.195,13,10.6,4,mem,1.4,
decode,gate_proj,8,1,2048,117.74,0.94,8.0,602.51,82.3,607.46,940.4,0.195,13,11.4,4,mem,3.5,
decode,up_proj,8,1,2048,117.74,0.94,8.0,602.76,82.32,607.75,897.4,0.195,13,11.4,4,mem,3.5,
decode,down_proj,8,1,2048,117.74,0.94,8.0,600.61,88.53,604.07,999.0,0.196,13,10.6,4,mem,2.7,
decode,lm_head,8,1,2048,1052.79,8.41,8.0,5375.85,734.96,5396.24,48806.0,0.196,13,11.4,4,mem,24.4,
decode,rmsnorm,8,1,2048,0.14,0.0,0.9,2.2,1.19,2.8,334.0,0.063,4,0.1,0,mem,0.4,
decode,silu,8,1,2048,0.46,0.0,1.0,2.78,0.6,3.43,313.1,0.165,11,0.8,0,mem,0.3,
decode,swiglu_mul,8,1,2048,0.69,0.0,0.8,4.3,1.65,5.4,398.9,0.16,11,0.3,0,mem,0.5,
decode,residual_add,8,1,2048,0.2,0.0,0.2,2.94,0.27,2.63,257.0,0.067,4,0.1,0,mem,0.2,
decode,rope,8,1,2048,0.13,0.0,0.7,3.03,3.21,5.3,195.4,0.043,3,0.0,0,cmp,1.1,
decode,embedding,8,1,2048,0.07,0.0,0.0,7.19,0.0,8.81,429.3,0.009,1,0,0,mem,0.3,
decode,argmax,8,1,2048,2.05,0.0,0.5,17.24,21.09,34.03,325.0,0.119,8,0.0,0,cmp,0.5,
decode,attn_scores,8,1,2048,34.67,0.13,3.9,177.83,20.78,180.54,513.8,0.195,13,6.5,3,mem,0.6,
decode,softmax,8,1,2048,2.1,0.0,1.2,11.17,6.84,18.06,390.1,0.188,13,0.4,0,mem,0.3,
decode,attn_av,8,1,2048,34.67,0.13,3.9,178.31,22.77,181.43,521.2,0.194,13,5.9,2,mem,0.6,
decode,attn_scores,8,1,8192,138.48,0.54,3.9,993.18,83.11,978.78,1445.8,0.139,9,6.5,3,mem,2.1,
decode,softmax,8,1,8192,8.39,0.01,1.2,41.87,25.27,67.2,417.6,0.2,13,0.4,0,mem,0.3,
decode,attn_av,8,1,8192,138.48,0.54,3.9,981.55,93.55,984.79,1585.7,0.141,9,5.7,2,mem,4.8,
decode,attn_scores,8,1,16384,276.89,1.07,3.9,2009.96,166.19,1959.24,2531.8,0.138,9,6.5,3,mem,7.9,
decode,softmax,8,1,16384,16.78,0.02,1.2,83.39,50.67,92.6,348.7,0.201,13,0.4,0,mem,0.3,
decode,attn_av,8,1,16384,276.89,1.07,3.9,1965.54,187.22,1968.95,2538.5,0.141,9,5.7,2,mem,12.5,
prefill,q_proj,1,2048,2048,67.11,68.72,1024.0,602.32,2402.55,2289.76,2879.5,0.111,7,28.6,11,cmp,19.8,
prefill,k_proj,1,2048,2048,29.36,17.18,585.1,205.99,873.07,643.21,936.3,0.143,10,19.7,8,cmp,7.2,
prefill,v_proj,1,2048,2048,29.36,17.18,585.1,205.03,873.05,643.35,921.5,0.143,10,19.7,8,cmp,7.0,
prefill,o_proj,1,2048,2048,67.11,68.72,1024.0,600.25,2402.57,2289.73,2788.2,0.112,7,28.6,11,cmp,19.7,
prefill,gate_proj,1,2048,2048,192.94,240.52,1246.6,11224.24,8162.08,10063.57,10825.9,0.017,1,29.5,12,mem,133.5,
prefill,up_proj,1,2048,2048,192.94,240.52,1246.6,11225.3,8162.06,10064.05,10617.0,0.017,1,29.5,12,mem,134.9,
prefill,down_proj,1,2048,2048,192.94,240.52,1246.6,2605.54,9261.96,8675.53,9249.9,0.074,5,26.0,10,cmp,33.6,
prefill,lm_head,1,2048,2048,1592.79,2151.78,1351.0,22890.5,75605.41,70567.17,115023.3,0.07,5,28.5,11,cmp,136.4,
prefill,rmsnorm,1,2048,2048,33.56,0.03,1.0,167.86,90.33,172.3,527.8,0.2,13,0.4,0,mem,0.8,
prefill,silu,1,2048,2048,117.44,0.12,1.0,531.35,117.09,523.08,788.5,0.221,15,1.0,0,mem,0.9,
prefill,swiglu_mul,1,2048,2048,176.16,0.15,0.8,1007.55,352.72,792.06,1215.1,0.175,12,0.4,0,mem,3.7,
prefill,residual_add,1,2048,2048,50.33,0.01,0.2,351.63,33.32,251.27,483.8,0.143,10,0.3,0,mem,0.3,
prefill,rope,1,2048,2048,34.6,0.03,0.7,180.34,196.96,324.07,598.7,0.192,13,0.1,0,cmp,3.5,
prefill,embedding,1,2048,2048,16.79,0.0,0.0,163.82,0.8,166.19,539.0,0.103,7,0.0,0,mem,0.4,
prefill,argmax,1,2048,2048,525.34,0.26,0.5,2826.82,4566.71,4591.23,5176.7,0.186,12,0.1,0,cmp,21.8,
prefill,attn_scores,1,2048,2048,289.41,34.36,118.7,2055.7,3209.81,2085.2,2629.0,0.141,9,10.7,4,cmp,11.9,
prefill,softmax,1,2048,2048,536.87,0.67,1.2,3492.87,1634.93,2663.27,3018.9,0.154,10,0.4,0,mem,10.5,
prefill,attn_av,1,2048,2048,289.41,34.36,118.7,1822.92,1146.48,1798.54,2452.7,0.159,11,30.0,12,mem,19.2,
