regime,name,kind,input_shape,aux_shape,task_us,tu_us,dma_us,envelope_us,error
decode,rmsnorm,rmsnorm,"(8, 1, 4096)","(4096,)",2.7959999999729916,1.1879999998491257,2.202999999979511,2.746000000042841,
decode,q_proj,q_proj,"(8, 1, 4096)","(4096, 4096)",175.52899999998044,25.288000000058673,172.1490000000922,175.4770000000717,
decode,gate_proj,gate_proj,"(8, 1, 4096)","(4096, 14336)",607.7129999999888,82.30600000033155,602.7319999997271,607.6609999999637,
decode,qk_scores,qk_scores,"(8, 32, 1, 128)","(8, 32, 128, 2048)",974.1650000000373,152.88499999966007,963.5340000002179,974.1119999999646,
decode,softmax_scores,softmax,"(8, 32, 1, 2048)",None,18.089999999967404,6.834999999962747,11.204000000027008,18.040000000037253,
prefill,rmsnorm,rmsnorm,"(1, 2048, 4096)","(4096,)",172.41200000001118,87.59699999995064,167.9739999996964,172.35900000005495,
prefill,q_proj,q_proj,"(1, 2048, 4096)","(4096, 4096)",2289.8090000000084,2241.155999999377,469.2389999999432,2289.756000000052,
prefill,gate_proj,gate_proj,"(1, 2048, 4096)","(4096, 14336)",10062.957000000053,8136.974000000395,10003.399000000325,10062.905000000028,
prefill,qk_scores,qk_scores,"(1, 32, 2048, 128)","(1, 32, 128, 2048)",1540.4120000000112,1183.7669999997597,1539.0530000007711,1540.359000000055,
prefill,softmax_scores,softmax,"(1, 32, 2048, 2048)",None,2663.3370000000577,1634.7220000011148,2663.077999999863,2663.283999999985,
