npe,B,T,D,dtype,op_vocab,split,kind,length,sequence,ops,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,128,4096,bfloat16,MASX,train,single,1,M,matmul,198.82099999999627,144.0130000001518,180.99199999996927,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,single,1,A,add,17.03599999996368,2.187000000034459,14.794999999925494,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,single,1,S,softmax,18.057999999960884,6.834999999962747,11.172999999951571,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,single,1,X,mul,19.2160000000149,4.298999999999069,14.862999999895692,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,MM,matmul->matmul,381.030999999959,286.6380000000354,363.18799999996554,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,MA,matmul->add,202.03700000001118,147.168999999878,186.67199999967124,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,MS,matmul->softmax,207.27500000002328,151.30799999996088,182.0130000000354,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,MX,matmul->mul,203.87800000002608,149.2809999998426,186.31200000015087,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,AM,add->matmul,204.94700000004377,147.2369999999646,187.25500000000466,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,AA,add->add,22.290000000037253,4.3739999999525025,20.044999999925494,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,AS,add->softmax,25.989999999990687,9.163999999989755,16.773000000044703,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,AX,add->mul,24.32400000002235,6.485999999917112,19.966999999945983,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,SM,softmax->matmul,198.5,151.94900000002235,180.8070000000298,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,SA,softmax->add,22.287999999942258,10.295000000158325,16.74400000006426,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,SS,softmax->softmax,24.910000000032596,13.67499999993015,11.180999999982305,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,SX,softmax->mul,23.334000000031665,11.337000000057742,16.747999999905005,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,XM,mul->matmul,204.70900000003166,149.34799999988172,187.01699999999255,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,XA,mul->add,22.48499999998603,6.486000000033528,20.23999999987427,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,XS,mul->softmax,28.103000000002794,11.275999999954365,16.775000000023283,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,4096,bfloat16,MASX,train,double,2,XX,mul->mul,24.614999999990687,8.597999999998137,20.25900000007823,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
