npe,B,T,D,dtype,kind,length,sequence,ops,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,128,256,bfloat16,single,1,M,M,6.834000000031665,5.3709999999264255,2.474999999976717,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,single,1,A,A,2.4290000000037253,0.2669999999925494,2.1079999998910353,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,single,1,S,S,2.650000000023283,1.0740000000223517,1.525000000023283,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,MM,M->M,11.184000000008382,9.73699999996461,4.157000000122935,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,MA,M->A,7.091000000014901,5.638999999966472,3.309000000008382,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,MS,M->S,10.143999999971129,7.820000000065193,2.6820000001462176,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,AM,A->M,7.915000000037253,5.63799999980256,3.2890000001061708,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,AA,A->A,3.2290000000502914,0.5339999999850988,2.9039999999804422,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,AS,A->S,3.7770000000018626,1.4309999999823049,2.2900000001536682,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,SM,S->M,13.515999999945052,12.06499999994412,2.4510000001173466,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,SA,S->A,3.143000000040047,1.5630000000819564,2.3549999999813735,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,double,2,SS,S->S,9.118000000016764,7.313000000081956,1.5350000001490116,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MMM,M->M->M,14.582999999984168,6.127000000094995,7.080000000074506,6.9419999999227,0.0,0.0,DMA|Renegade::StoTrf|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MMA,M->M->A,11.724999999976717,10.01500000001397,5.415999999968335,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MMS,M->M->S,15.949999999953434,13.678000000189058,4.106000000145286,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MAM,M->A->M,13.163999999989755,10.964999999967404,4.59699999995064,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MAA,M->A->A,7.520999999949709,6.056999999913387,3.8589999999385327,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MAS,M->A->S,10.853000000002794,8.483999999938533,3.787999999942258,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MSM,M->S->M,15.606999999959953,13.415000000270084,3.977000000071712,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MSA,M->S->A,8.896999999997206,6.608000000240281,3.6800000000512227,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,MSS,M->S->S,11.410999999963678,9.096000000019558,2.640000000130385,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,AMM,A->M->M,11.912999999942258,4.841000000014901,6.290000000037253,4.628000000026077,0.0,0.0,DMA|Renegade::StoTrf|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,AMA,A->M->A,8.192000000039116,5.907000000006519,4.006000000052154,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,AMS,A->M->S,10.643999999971129,7.95000000030268,3.4620000001741573,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,256,bfloat16,triple,3,AAM,A->A->M,9.337999999988824,5.909999999916181,4.116999999969266,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
