npe,B,T,D,dtype,kind,length,sequence,ops,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,512,1024,bfloat16,single,1,M,M,64.18799999996554,54.49900000018533,19.667000000132248,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,single,1,A,A,17.148000000044703,2.187000000034459,14.90700000000652,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,single,1,S,S,16.895000000018626,6.98499999998603,9.85800000000745,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,MM,M->M,114.94799999997485,98.55999999993946,31.04500000004191,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,MA,M->A,66.59400000004098,56.78099999995902,26.278999999980442,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,MS,M->S,72.56700000003912,62.76899999997113,19.783000000054017,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,AM,A->M,69.34999999997672,54.46899999992456,24.909000000101514,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,AA,A->A,22.635000000009313,4.374000000068918,20.389999999897555,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,AS,A->S,24.165999999968335,9.176000000094064,14.937000000034459,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,SM,S->M,65.45100000000093,55.64500000001863,19.85999999998603,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,SA,S->A,22.48699999996461,10.281000000075437,16.955000000074506,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,double,2,SS,S->S,24.866000000038184,13.67000000004191,11.140999999945052,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
