npe,B,T,H_dim,F_dim,dtype,op_vocab,split,kind,length,sequence,ops,state_path,dim_path,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,128,1024,3584,bfloat16,MASX,train,single,1,M,matmul_toggle,H->F,1024->3584,63.724000000045635,46.82200000004377,43.278000000165775,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,single,1,A,add,H->H,1024->1024,5.462000000057742,0.6510000000707805,4.756999999983236,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,single,1,S,softmax,H->H,1024->1024,5.712000000057742,2.2269999999552965,3.4329999999608845,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,single,1,X,mul,H->H,1024->1024,5.854000000050291,1.1790000000037253,4.6209999999264255,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,MM,matmul_toggle->matmul_toggle,H->F->H,1024->3584->1024,93.19499999994878,77.65399999998044,77.27500000002328,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,MA,matmul_toggle->add,H->F->F,1024->3584->3584,65.73400000005495,49.006999999983236,48.388000000151806,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,MS,matmul_toggle->softmax,H->F->F,1024->3584->3584,73.94200000003912,58.92200000002049,44.631999999983236,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,MX,matmul_toggle->mul,H->F->F,1024->3584->3584,64.86100000003353,46.90599999995902,48.156999999890104,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,AM,add->matmul_toggle,H->H->F,1024->1024->3584,68.15500000002794,43.18099999986589,51.01800000004005,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,AA,add->add,H->H->H,1024->1024->1024,7.032000000006519,1.3020000000251457,6.322999999974854,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,AS,add->softmax,H->H->H,1024->1024->1024,8.099000000045635,2.881999999983236,5.165000000037253,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,AX,add->mul,H->H->H,1024->1024->1024,7.52800000004936,1.8300000000745058,6.290999999968335,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,SM,softmax->matmul_toggle,H->H->F,1024->1024->3584,66.44599999999627,44.900999999954365,49.31400000001304,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,SA,softmax->add,H->H->H,1024->1024->1024,10.525000000023283,6.983000000007451,5.2239999999292195,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,SS,softmax->softmax,H->H->H,1024->1024->1024,10.454000000027008,6.9739999999292195,3.4270000000251457,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,SX,softmax->mul,H->H->H,1024->1024->1024,7.25,3.7100000001955777,5.222999999998137,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,XM,mul->matmul_toggle,H->H->F,1024->1024->3584,68.25300000002608,43.70899999991525,51.11800000013318,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,XA,mul->add,H->H->H,1024->1024->1024,7.0450000000419095,1.8299999999580905,6.335999999893829,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,XS,mul->softmax,H->H->H,1024->1024->1024,8.618000000016764,3.4100000000325963,5.155999999959022,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,double,2,XX,mul->mul,H->H->H,1024->1024->1024,7.75199999997858,2.3580000000074506,6.51500000001397,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,128,1024,3584,bfloat16,MASX,train,triple,3,MMM,matmul_toggle->matmul_toggle->matmul_toggle,H->F->H->F,1024->3584->1024->3584,138.03899999998976,115.15299999981653,117.38699999987148,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
