seq,wsize,start,flops,wbytes,inbytes,ops,has_q,has_k,has_v,has_o,has_gate,has_up,has_down,cycle
128,1,0,1073741824,8388608,524288,q,1,0,0,0,0,0,0,39784
128,1,1,268435456,2097152,524288,k,0,1,0,0,0,0,0,21756
128,1,2,268435456,2097152,524288,v,0,0,1,0,0,0,0,22373
128,1,3,1073741824,8388608,524288,o,0,0,0,1,0,0,0,40288
128,1,4,4294967296,33554432,524288,gate,0,0,0,0,1,0,0,116124
128,1,5,4294967296,33554432,524288,up,0,0,0,0,0,1,0,115742
128,1,6,4294967296,33554432,2097152,down,0,0,0,0,0,0,1,115417
128,2,0,1342177280,10485760,1048576,q|k,1,1,0,0,0,0,0,45747
128,2,1,536870912,4194304,1048576,k|v,0,1,1,0,0,0,0,34512
128,2,2,1342177280,10485760,1048576,v|o,0,0,1,1,0,0,0,43897
128,2,3,5368709120,41943040,1048576,o|gate,0,0,0,1,1,0,0,141884
128,2,4,8589934592,67108864,1048576,gate|up,0,0,0,0,1,1,0,180326
128,2,5,8589934592,67108864,2621440,up|down,0,0,0,0,0,1,1,177640
128,3,0,1610612736,12582912,1572864,q|k|v,1,1,1,0,0,0,0,58350
128,3,1,1610612736,12582912,1572864,k|v|o,0,1,1,1,0,0,0,57018
128,3,2,5637144576,44040192,1572864,v|o|gate,0,0,1,1,1,0,0,161994
128,3,3,9663676416,75497472,1572864,o|gate|up,0,0,0,1,1,1,0,194904
128,3,4,12884901888,100663296,3145728,gate|up|down,0,0,0,0,1,1,1,234045
128,7,0,15569256448,121634816,5242880,q|k|v|o|gate|up|down,1,1,1,1,1,1,1,324044
256,1,0,2147483648,8388608,1048576,q,1,0,0,0,0,0,0,55848
256,1,1,536870912,2097152,1048576,k,0,1,0,0,0,0,0,25944
256,1,2,536870912,2097152,1048576,v,0,0,1,0,0,0,0,25753
256,1,3,2147483648,8388608,1048576,o,0,0,0,1,0,0,0,55652
256,1,4,8589934592,33554432,1048576,gate,0,0,0,0,1,0,0,162460
256,1,5,8589934592,33554432,1048576,up,0,0,0,0,0,1,0,162346
256,1,6,8589934592,33554432,4194304,down,0,0,0,0,0,0,1,162004
256,2,0,2684354560,10485760,2097152,q|k,1,1,0,0,0,0,0,67378
256,2,1,1073741824,4194304,2097152,k|v,0,1,1,0,0,0,0,35047
256,2,2,2684354560,10485760,2097152,v|o,0,0,1,1,0,0,0,70333
256,2,3,10737418240,41943040,2097152,o|gate,0,0,0,1,1,0,0,193543
256,2,4,17179869184,67108864,2097152,gate|up,0,0,0,0,1,1,0,256220
256,2,5,17179869184,67108864,5242880,up|down,0,0,0,0,0,1,1,265145
256,3,0,3221225472,12582912,3145728,q|k|v,1,1,1,0,0,0,0,76235
256,3,1,3221225472,12582912,3145728,k|v|o,0,1,1,1,0,0,0,74907
256,3,2,11274289152,44040192,3145728,v|o|gate,0,0,1,1,1,0,0,208176
256,3,3,19327352832,75497472,3145728,o|gate|up,0,0,0,1,1,1,0,290394
256,3,4,25769803776,100663296,6291456,gate|up|down,0,0,0,0,1,1,1,361948
256,7,0,31138512896,121634816,10485760,q|k|v|o|gate|up|down,1,1,1,1,1,1,1,442116
512,1,0,4294967296,8388608,2097152,q,1,0,0,0,0,0,0,87694
512,1,1,1073741824,2097152,2097152,k,0,1,0,0,0,0,0,35945
512,1,2,1073741824,2097152,2097152,v,0,0,1,0,0,0,0,34203
512,1,3,4294967296,8388608,2097152,o,0,0,0,1,0,0,0,87646
512,1,4,17179869184,33554432,2097152,gate,0,0,0,0,1,0,0,252236
512,1,5,17179869184,33554432,2097152,up,0,0,0,0,0,1,0,251524
512,1,6,17179869184,33554432,8388608,down,0,0,0,0,0,0,1,240337
512,2,0,5368709120,10485760,4194304,q|k,1,1,0,0,0,0,0,103361
512,2,1,2147483648,4194304,4194304,k|v,0,1,1,0,0,0,0,56797
512,2,2,5368709120,10485760,4194304,v|o,0,0,1,1,0,0,0,106313
512,2,3,21474836480,41943040,4194304,o|gate,0,0,0,1,1,0,0,289410
512,2,4,34359738368,67108864,4194304,gate|up,0,0,0,0,1,1,0,417086
512,2,5,34359738368,67108864,10485760,up|down,0,0,0,0,0,1,1,411024
512,3,0,6442450944,12582912,6291456,q|k|v,1,1,1,0,0,0,0,121604
512,3,1,6442450944,12582912,6291456,k|v|o,0,1,1,1,0,0,0,120475
512,3,2,22548578304,44040192,6291456,v|o|gate,0,0,1,1,1,0,0,312684
512,3,3,38654705664,75497472,6291456,o|gate|up,0,0,0,1,1,1,0,450325
512,3,4,51539607552,100663296,12582912,gate|up|down,0,0,0,0,1,1,1,573234
512,7,0,62277025792,121634816,20971520,q|k|v|o|gate|up|down,1,1,1,1,1,1,1,685729
1024,1,0,8589934592,8388608,4194304,q,1,0,0,0,0,0,0,142881
1024,1,1,2147483648,2097152,4194304,k,0,1,0,0,0,0,0,62848
1024,1,2,2147483648,2097152,4194304,v,0,0,1,0,0,0,0,62736
1024,1,3,8589934592,8388608,4194304,o,0,0,0,1,0,0,0,142669
1024,1,4,34359738368,33554432,4194304,gate,0,0,0,0,1,0,0,429112
1024,1,5,34359738368,33554432,4194304,up,0,0,0,0,0,1,0,429634
1024,1,6,34359738368,33554432,16777216,down,0,0,0,0,0,0,1,416096
1024,2,0,10737418240,10485760,8388608,q|k,1,1,0,0,0,0,0,181564
1024,2,1,4294967296,4194304,8388608,k|v,0,1,1,0,0,0,0,99386
1024,2,2,10737418240,10485760,8388608,v|o,0,0,1,1,0,0,0,178810
1024,2,3,42949672960,41943040,8388608,o|gate,0,0,0,1,1,0,0,506720
1024,2,4,68719476736,67108864,8388608,gate|up,0,0,0,0,1,1,0,756794
1024,2,5,68719476736,67108864,20971520,up|down,0,0,0,0,0,1,1,766448
1024,3,0,12884901888,12582912,12582912,q|k|v,1,1,1,0,0,0,0,207790
1024,3,1,12884901888,12582912,12582912,k|v|o,0,1,1,1,0,0,0,207692
1024,3,2,45097156608,44040192,12582912,v|o|gate,0,0,1,1,1,0,0,536000
1024,3,3,77309411328,75497472,12582912,o|gate|up,0,0,0,1,1,1,0,834808
1024,3,4,103079215104,100663296,25165824,gate|up|down,0,0,0,0,1,1,1,1105520
1024,7,0,124554051584,121634816,41943040,q|k|v|o|gate|up|down,1,1,1,1,1,1,1,1326577
