seq,wsize,start,flops,wbytes,inbytes,ops,has_q,has_k,has_v,has_o,has_gate,has_up,has_down,cycle
256,1,0,2147483648,8388608,1048576,q,1,0,0,0,0,0,0,55848
256,1,1,536870912,2097152,1048576,k,0,1,0,0,0,0,0,25944
256,1,2,536870912,2097152,1048576,v,0,0,1,0,0,0,0,25753
256,1,3,2147483648,8388608,1048576,o,0,0,0,1,0,0,0,55652
256,1,4,8589934592,33554432,1048576,gate,0,0,0,0,1,0,0,162460
256,1,5,8589934592,33554432,1048576,up,0,0,0,0,0,1,0,162346
256,1,6,8589934592,33554432,4194304,down,0,0,0,0,0,0,1,162004
256,2,0,2684354560,10485760,2097152,q|k,1,1,0,0,0,0,0,67378
256,2,1,1073741824,4194304,2097152,k|v,0,1,1,0,0,0,0,35047
256,2,2,2684354560,10485760,2097152,v|o,0,0,1,1,0,0,0,70333
256,2,3,10737418240,41943040,2097152,o|gate,0,0,0,1,1,0,0,193543
256,2,4,17179869184,67108864,2097152,gate|up,0,0,0,0,1,1,0,256220
256,2,5,17179869184,67108864,5242880,up|down,0,0,0,0,0,1,1,265145
256,3,0,3221225472,12582912,3145728,q|k|v,1,1,1,0,0,0,0,76235
256,3,1,3221225472,12582912,3145728,k|v|o,0,1,1,1,0,0,0,74907
256,3,2,11274289152,44040192,3145728,v|o|gate,0,0,1,1,1,0,0,208176
256,3,3,19327352832,75497472,3145728,o|gate|up,0,0,0,1,1,1,0,290394
256,3,4,25769803776,100663296,6291456,gate|up|down,0,0,0,0,1,1,1,361948
256,7,0,31138512896,121634816,10485760,q|k|v|o|gate|up|down,1,1,1,1,1,1,1,442116
