leader_device,name,cycle
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",106142
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",41049
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",359402
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",41305
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",358262
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40977
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",363992
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40457
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",361930
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40779
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",361420
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40665
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",367860
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40718
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",368438
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40928
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",361610
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40438
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",360917
"npu0pe0-3","Attention(AttentionBucket { batch_size: 1, attention_size: 128, kv_cache_size: 0 }) #0",40453
"npu0pe0-3","Tokenwise(TokenwiseBucket { input_size: 128 }) #0",360486
