B,S,NH,HD,D,component,task_us,dma_us,tu_us
1,128,32,128,4096,qk_matmul,21.64,16.79,9.05
1,128,32,128,4096,softmax_scores,18.0,11.11,6.85
1,128,32,128,4096,av_matmul,21.73,16.88,9.05
1,128,32,128,4096,rmsnorm,16.16,11.8,5.0
1,128,32,128,4096,qkv_proj,542.58,534.83,425.15
1,128,32,128,4096,o_proj,199.28,181.44,144.02
1,128,32,128,4096,residual_add,17.24,15.0,2.19
1,512,32,128,4096,qk_matmul,138.43,132.71,85.16
1,512,32,128,4096,softmax_scores,152.05,149.63,105.97
1,512,32,128,4096,av_matmul,135.66,133.81,93.63
1,512,32,128,4096,rmsnorm,63.79,43.18,21.89
1,512,32,128,4096,qkv_proj,1882.52,600.42,1848.54
1,512,32,128,4096,o_proj,656.99,212.03,614.77
1,512,32,128,4096,residual_add,71.3,62.92,8.33
1,2048,32,128,4096,qk_matmul,1539.7,1538.34,1183.9
1,2048,32,128,4096,softmax_scores,2663.75,2663.48,1634.97
1,2048,32,128,4096,av_matmul,1625.84,1601.1,1489.85
1,2048,32,128,4096,rmsnorm,172.44,167.95,87.6
1,2048,32,128,4096,qkv_proj,8556.78,8466.0,6909.97
1,2048,32,128,4096,o_proj,2289.85,466.72,2241.15
1,2048,32,128,4096,residual_add,251.11,251.04,33.32
